user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data,id
25 to 34,446,2016-10-30,male,289,28.6,606,North Corniche,54 kg and under,Evening Ride,20.5,44.3,42.24,7425,7425,0,5084
25 to 34,287,2018-08-12,male,103,31.4,542,King Street side,65 to 74 kg,Evening Ride,26.3,52.6,52.91,7237,7237,0,2084
25 to 34,1050,2015-12-08,male,103,17.4,1827,S.Ubhur Alkurnaysh South Bound with detour,65 to 74 kg,Night Ride,17.6,56.5,130.54,26774,26774,0,1245
35 to 44,739,2018-10-31,male,99,28.2,604,King Street side,55 to 64 kg,Ciclismo por la mañana,26.2,36.4,42.26,5810,5810,0,2382
25 to 34,559,2017-02-20,male,420,16.6,846,Starbucks to Majid,54 kg and under,Evening Ride,16.7,38.2,20.16,4339,4339,0,571
19 and under,46,2018-02-16,male,7,28.7,862,Obhur North Short,75 to 84 kg,Morning Ride,32.9,53.3,84.04,9190,9190,1,1435
25 to 34,210,2017-12-24,male,574,17.8,403,Oghor 2 SailsIsland,75 to 84 kg,Evening Run,18.7,56.2,27.67,5336,5336,0,3902
25 to 34,399,2015-09-30,male,294,28.5,608,North Corniche,75 to 84 kg,Morning Ride,21.2,39.2,52.18,8843,8843,0,5089
25 to 34,285,2017-12-06,male,105,17.3,1839,S.Ubhur Alkurnaysh South Bound with detour,95 kg to 104 kg,Evening Ride,22.8,41.8,55.68,8775,8775,0,1247
55 to 64,1031,2019-04-27,male,12,32.6,532,North Corniche,85 to 95 kg,Geely Jeddah 50km,32.6,44.6,44.34,4902,4902,0,5909
20 to 24,52,2019-04-27,male,3,44.2,393,North Corniche,75 to 84 kg,Morning Ride,41.8,60.1,41.65,3583,3583,1,4681
25 to 34,578,2019-05-09,male,194,33.1,217,Oghor 2 SailsIsland,,Afternoon Ride,21.1,45.4,34.56,5889,5889,0,3526
45 to 54,652,2018-12-26,male,2,43.0,396,King Street side,65 to 74 kg,Evening Ride,31.2,49.7,55.05,6357,6357,1,2514
35 to 44,1082,2018-01-26,male,89,34.4,504,North Corniche,85 to 95 kg,Morning Ride,23.0,43.2,36.73,5755,5755,0,5445
45 to 54,676,2019-09-09,male,38,28.4,495,Starbucks to Majid,85 to 95 kg,Night Ride,28.1,41.0,41.87,5370,5370,1,1007
20 to 24,103,2018-08-27,male,92,20.3,857,North Corniche,75 to 84 kg,A ride with Jeddah cyclist ,21.0,36.0,47.9,8228,8228,0,4770
45 to 54,1264,2020-04-03,male,129,22.6,318,Oghor 2 SailsIsland,,Sarap ng pakiramdam nakapadyak globe lang via sultan road,18.8,50.0,65.19,12454,12454,0,4543
65 to 69,1100,2020-03-07,male,3,23.4,742,North Corniche,54 kg and under,Morning Ride,16.3,33.5,32.49,7166,7166,0,5933
25 to 34,453,2016-12-19,male,557,19.3,312,Headquarters Business Park,85 to 95 kg,Evening Ride,20.6,45.4,27.07,4743,4743,0,6821
25 to 34,1061,2018-12-15,male,82,33.0,516,King Street side,65 to 74 kg,Morning Ride,31.2,58.7,80.12,9244,9244,0,2064
25 to 34,622,2020-02-17,female,18,21.2,820,North Corniche,54 kg and under,Night Ride,16.6,27.7,31.02,6740,6740,0,5352
20 to 24,132,2018-05-08,male,165,15.6,386,Headquarters Business Park,85 to 95 kg,Night Ride,15.6,44.6,30.92,7128,7128,0,6216
19 and under,2,2019-03-09,male,5,35.9,760,Al Fardoos to shellfish round about,65 to 74 kg,Morning Ride,28.2,49.0,98.08,12540,12540,0,1690
25 to 34,1884,2019-10-11,male,529,19.8,305,Headquarters Business Park,85 to 95 kg,ماشاءالله تمرين الواجهة البحرية,15.5,45.4,23.05,5358,5358,0,6796
35 to 44,355,2019-04-19,male,16,36.1,167,Headquarters Business Park,85 to 95 kg,Afternoon Ride,38.7,64.1,49.84,4635,4635,1,7142
25 to 34,615,2019-02-15,female,9,31.0,560,North Corniche,54 kg and under,Afternoon Ride,21.2,73.1,104.74,17814,17814,0,5343
25 to 34,227,2018-12-26,male,3,43.3,393,King Street side,75 to 84 kg,Evening Ride,28.7,51.1,33.98,4267,4267,0,1985
25 to 34,286,2018-11-28,male,142,27.4,513,Starbucks to Majid,54 kg and under,Evening Ride,26.2,44.6,49.59,6807,6807,0,294
35 to 44,641,2014-12-05,male,7,34.4,718,Obhur North Short,65 to 74 kg,"12/05/2014 Jeddah, Makkah Province, Saudi Arabia",33.4,54.4,163.05,17574,17574,1,1547
25 to 34,260,2018-03-28,male,30,38.4,443,King Street side,54 kg and under,Night Ride,23.6,44.6,29.91,4569,4569,0,2012
25 to 34,576,2019-05-14,male,437,15.3,923,Starbucks to Majid,54 kg and under,Night Ride,18.3,42.5,37.0,7289,7289,0,588
25 to 34,161,2019-04-27,male,49,40.5,177,Oghor 2 SailsIsland,65 to 74 kg,سباق جده وتشتغل بروح الفريق توصل للقمه ,38.7,56.2,42.07,3915,3915,0,3329
35 to 44,690,2015-11-30,male,120,26.7,637,King Street side,85 to 95 kg,Evening Ride,23.9,44.3,24.75,3733,3733,0,2403
25 to 34,1058,2019-11-15,male,148,28.8,591,King Street side,,Hamra to Batterjee College,26.5,43.2,75.53,10273,10273,0,2129
35 to 44,668,2016-01-09,male,29,42.7,168,Oghor 2 SailsIsland,85 to 95 kg,Morning Ride,27.7,47.2,42.83,5571,5571,1,3998
45 to 54,973,2019-01-28,male,8,34.1,177,Headquarters Business Park,105 kg to 114 kg,Morning Ride,24.3,42.1,15.62,2318,2318,1,7666
25 to 34,1437,2019-04-18,male,411,25.8,278,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,24.4,61.9,22.27,3282,3282,0,3741
25 to 34,482,2017-01-11,male,179,33.5,214,Oghor 2 SailsIsland,85 to 95 kg,Evening Ride,20.2,44.3,30.16,5364,5364,0,3508
25 to 34,291,2020-01-21,male,53,34.5,283,PRINCE SULTAN - ASSALAM TO FATIMA,95 kg to 104 kg,Evening Ride,21.3,42.1,50.63,8552,8552,0,2719
45 to 54,1013,2018-06-25,male,107,25.9,277,Oghor 2 SailsIsland,54 kg and under,تمرين الواجه البحرية ,17.6,48.2,35.32,7217,7217,0,4521
25 to 34,545,2018-06-04,male,355,25.8,674,North Corniche,54 kg and under,Night Ride,19.6,38.9,30.01,5505,5505,0,5150
35 to 44,659,2018-07-29,male,36,32.5,186,Headquarters Business Park,75 to 84 kg,Night Ride,21.9,39.2,24.12,3974,3974,1,7162
35 to 44,639,2018-01-13,male,43,31.9,189,Headquarters Business Park,65 to 74 kg,Morning Ride,31.7,50.0,60.43,6855,6855,1,7169
25 to 34,544,2018-04-13,male,405,17.7,796,Starbucks to Majid,54 kg and under,Morning Ride,19.1,29.2,30.59,5768,5768,0,556
20 to 24,1397,2020-01-24,female,5,10.6,1639,North Corniche,54 kg and under, thumbs up: medium skin tone fire ,14.7,24.5,20.4,4982,4982,0,4795
35 to 44,1243,2018-08-17,male,186,20.8,817,King Street side,65 to 74 kg,Morning Ride,8.2,140.8,236.35,103942,103942,0,2469
25 to 34,1300,2019-01-18,male,409,25.9,277,Oghor 2 SailsIsland,54 kg and under,Morning Ride,18.9,39.6,36.58,6975,6975,0,3738
35 to 44,1545,2018-12-30,male,317,24.8,289,Oghor 2 SailsIsland,95 kg to 104 kg,Morning Ride,22.5,38.9,43.98,7045,7045,0,4286
25 to 34,346,2018-04-18,male,217,25.7,235,Headquarters Business Park,105 kg to 114 kg,Evening Ride تمرين فخم أول 50 كيلو flexed biceps: light skin tone ,23.6,37.1,51.67,7889,7889,0,6481
25 to 34,1495,2018-12-07,male,494,18.0,963,North Corniche,54 kg and under,Afternoon Ride,14.3,29.9,40.5,10201,10201,0,5289
25 to 34,1131,2020-03-06,male,11,41.2,662,Al Fardoos to shellfish round about,115 kg and over,Morning Ride,34.9,55.8,70.04,7225,7225,1,1716
55 to 64,1036,2018-02-17,male,6,34.9,488,King Street side,75 to 84 kg,Morning Ride,27.1,38.2,58.05,7718,7718,1,2604
25 to 34,1182,2018-03-19,male,228,25.4,238,Headquarters Business Park,105 kg to 114 kg,Evening Ride,22.7,38.9,40.6,6434,6434,0,6492
20 to 24,512,2019-09-20,male,10,6.6,4159,Al Fardoos to shellfish round about,54 kg and under,Evening Ride,11.6,30.6,24.36,7564,7564,0,1704
25 to 34,1179,2019-10-04,male,157,28.1,606,King Street side,75 to 84 kg,Morning Ride,26.0,45.4,36.85,5096,5096,1,2139
20 to 24,130,2015-06-23,male,104,22.8,315,Oghor 2 SailsIsland,85 to 95 kg,Afternoon Ride,19.2,32.8,10.97,2054,2054,0,3239
35 to 44,1083,2019-04-26,male,100,28.1,605,King Street side,,Morning Ride,17.2,38.9,50.77,10653,10653,0,2383
35 to 44,1550,2018-01-29,male,342,23.4,306,Oghor 2 SailsIsland,54 kg and under,Evening Ride,17.2,38.2,22.95,4810,4810,0,4311
35 to 44,654,2017-12-04,male,22,36.0,886,S.Ubhur Alkurnaysh South Bound with detour,65 to 74 kg,Morning Ride,31.7,49.7,42.39,4822,4822,1,1285
25 to 34,420,2018-01-22,male,440,21.3,283,Headquarters Business Park,95 kg to 104 kg,Evening Ride,21.5,34.2,11.44,1915,1915,0,6705
20 to 24,1753,2018-04-10,male,192,5.7,1063,Headquarters Business Park,75 to 84 kg,الواجهة البحرية,6.7,33.8,6.38,3406,3406,0,6243
25 to 34,2003,2019-07-17,male,763,12.1,500,Headquarters Business Park,,...,13.9,29.2,7.59,1971,1971,0,7028
25 to 34,588,2019-07-07,male,602,13.4,537,Oghor 2 SailsIsland,54 kg and under,Evening Ride,13.5,50.0,60.84,16226,16226,0,3930
19 and under,16,2015-03-09,male,22,26.1,231,Headquarters Business Park,95 kg to 104 kg,Night Ride,18.8,41.8,19.04,3643,3643,0,5960
35 to 44,371,2019-03-08,male,51,23.9,1035,Obhur North Short,54 kg and under,Morning Ride,25.6,43.6,61.23,8613,8613,1,1591
35 to 44,1572,2018-05-11,male,258,23.2,260,Headquarters Business Park,,Evening Ride,16.0,33.1,17.3,3899,3899,0,7384
25 to 34,1968,2019-11-01,male,705,16.1,374,Headquarters Business Park,,Medd ride ,19.5,36.4,25.87,4773,4773,0,6970
25 to 34,345,2018-03-05,male,181,26.5,643,King Street side,75 to 84 kg,Evening Ride,25.2,37.8,51.65,7365,7365,0,2162
35 to 44,452,2018-09-10,male,113,27.5,619,King Street side,75 to 84 kg,تمرين مع جده تراي,20.3,50.0,72.49,12848,12848,0,2396
25 to 34,308,2018-08-11,male,165,26.7,528,Starbucks to Majid,85 to 95 kg,Morning Ride,27.1,38.9,66.06,8773,8773,0,317
25 to 34,2026,2018-02-06,male,795,4.9,1235,Headquarters Business Park,54 kg and under,Life up,8.3,29.5,16.4,7149,7149,0,7059
19 and under,44,2018-09-11,male,35,28.9,248,Oghor 2 SailsIsland,75 to 84 kg,Afternoon Ride,19.8,45.4,13.38,2437,2437,0,3111
25 to 34,470,2016-05-18,male,438,22.0,790,North Corniche,115 kg and over,Evening Ride,17.8,38.5,22.21,4504,4504,0,5233
25 to 34,1859,2018-11-11,male,465,20.8,290,Headquarters Business Park,54 kg and under,Evening Ride,21.2,40.7,14.92,2532,2532,0,6734
35 to 44,923,2019-08-07,female,1,28.2,214,Headquarters Business Park,65 to 74 kg,Morning Ride,21.2,32.0,17.8,3029,3029,1,7628
35 to 44,686,2016-12-19,male,67,37.6,191,Oghor 2 SailsIsland,75 to 84 kg,Evening Ride,20.3,47.9,25.04,4446,4446,0,4036
35 to 44,764,2018-11-30,male,153,25.3,556,Starbucks to Majid,85 to 95 kg,Evening Ride,17.5,42.8,76.17,15712,15712,0,795
45 to 54,970,2019-01-14,male,36,30.8,317,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,الأمل زاد الحياة ,28.2,41.0,43.26,5524,5524,0,3020
25 to 34,56,2019-12-13,male,6,43.2,632,Al Fardoos to shellfish round about,65 to 74 kg,Morning Ride,32.8,56.9,68.15,7481,7481,1,1711
25 to 34,268,2018-04-04,male,108,36.8,195,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,28.9,46.4,50.27,6269,6269,0,3387
19 and under,37,2018-09-23,male,37,19.0,742,Starbucks to Majid,54 kg and under,National day ride victory hand: light skin tone ,10.0,38.9,14.75,5330,5330,0,36
45 to 54,976,2018-11-03,male,135,21.6,332,Oghor 2 SailsIsland,54 kg and under,Lunch Ride,21.1,46.1,55.35,9428,9428,0,4549
35 to 44,876,2017-08-16,male,272,18.8,750,Starbucks to Majid,75 to 84 kg,Evening Ride,18.6,30.2,16.67,3225,3225,0,913
35 to 44,896,2016-09-17,male,366,13.7,1266,North Corniche,54 kg and under,Evening Ride,15.7,54.0,52.17,11998,11998,0,5721
25 to 34,1304,2017-11-25,male,500,17.2,1011,North Corniche,75 to 84 kg,Morning Ride,17.7,32.0,30.29,6177,6177,0,5295
35 to 44,669,2017-05-26,male,3,49.8,144,Oghor 2 SailsIsland,85 to 95 kg,Afternoon Ride,31.9,57.2,35.07,3961,3961,1,3972
35 to 44,651,2018-11-28,male,15,42.4,409,North Corniche,65 to 74 kg,Night Ride,39.1,52.9,20.69,1906,1906,0,5370
35 to 44,196,2020-02-08,male,160,32.6,220,Oghor 2 SailsIsland,65 to 74 kg,Morning Ride,23.9,45.4,37.46,5640,5640,1,4133
45 to 54,934,2015-08-06,male,5,35.9,392,Starbucks to Majid,55 to 64 kg,"08/06/2015 Jeddah, Makkah Province, Saudi Arabia",22.1,39.6,28.1,4580,4580,0,974
45 to 54,943,2019-05-31,male,14,32.5,433,Starbucks to Majid,85 to 95 kg,Solo Night Ride,30.8,43.9,50.04,5853,5853,1,983
25 to 34,206,2016-08-01,male,166,26.9,224,Headquarters Business Park,65 to 74 kg,Evening Ride,21.5,41.4,46.87,7846,7846,0,6430
55 to 64,1036,2017-12-15,male,6,31.3,1018,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Morning Ride,26.3,35.3,58.64,8034,8034,1,1418
35 to 44,667,2017-01-20,male,20,30.9,799,Obhur North Short,85 to 95 kg,Morning Ride,29.9,73.8,86.12,10372,10372,1,1560
35 to 44,717,2015-01-07,male,166,32.3,222,Oghor 2 SailsIsland,75 to 84 kg,Evening Ride,24.4,40.3,25.83,3805,3805,0,4135
35 to 44,1077,2020-01-24,male,227,28.0,620,North Corniche,65 to 74 kg,Morning Ride,15.0,51.5,32.2,7753,7753,0,5582
25 to 34,160,2019-04-27,male,13,39.2,154,Headquarters Business Park,75 to 84 kg,Morning Ride,38.8,54.4,42.42,3940,3940,1,6277
35 to 44,1541,2017-09-02,male,296,25.7,279,Oghor 2 SailsIsland,95 kg to 104 kg,Night Ride,22.7,40.0,36.24,5752,5752,0,4265
35 to 44,831,2018-12-28,male,92,17.7,1797,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,19.1,31.7,60.2,11321,11321,0,1355
35 to 44,2101,2018-09-17,male,233,23.7,255,Headquarters Business Park,75 to 84 kg,Evening Ride,20.8,43.9,22.47,3890,3890,0,7360
35 to 44,860,2019-11-02,male,325,21.5,281,Headquarters Business Park,75 to 84 kg,Morning Ride,22.1,39.6,35.13,5722,5722,0,7452
45 to 54,946,2015-11-28,male,18,29.7,474,Starbucks to Majid,65 to 74 kg,Sortie à vélo matinale,31.7,51.5,70.84,8045,8045,0,987
25 to 34,1055,2020-02-08,male,15,39.7,246,PRINCE SULTAN - ASSALAM TO FATIMA,55 to 64 kg,Afternoon Ride,26.2,52.9,55.84,7665,7665,1,2682
25 to 34,411,2019-01-26,male,251,29.7,584,North Corniche,75 to 84 kg,Morning Ride,23.6,43.2,22.06,3369,3369,1,5047
45 to 54,1119,2019-10-11,male,17,31.2,793,Obhur North Short,75 to 84 kg,Giro mattutino,31.5,42.1,83.12,9487,9487,1,1640
35 to 44,675,2016-11-21,male,27,35.4,901,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Evening Ride,32.1,46.1,44.25,4962,4962,1,1290
25 to 34,1421,2019-03-04,male,348,28.0,256,Oghor 2 SailsIsland,54 kg and under,دراج جدة الاثنين,18.8,32.0,19.97,3824,3824,0,3681
45 to 54,959,2019-11-20,male,12,38.4,829,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,تمرين بطل 20/11/2019,27.2,52.6,43.72,5778,5778,0,1380
20 to 24,69,2018-06-27,male,12,35.6,478,King Street side,65 to 74 kg,تمرين جميل مع جده سايكلس red heart ,30.1,50.0,77.18,9222,9222,0,1933
19 and under,45,2015-01-16,male,54,5.7,3036,North Corniche,75 to 84 kg,Afternoon Ride,15.2,34.6,58.24,13814,13814,0,4675
25 to 34,517,2018-10-20,male,357,22.8,265,Headquarters Business Park,54 kg and under,Afternoon Ride,20.9,37.1,12.77,2195,2195,0,6625
20 to 24,72,2017-10-14,male,24,35.2,204,Oghor 2 SailsIsland,54 kg and under,Night Ride,25.3,44.3,26.05,3711,3711,0,3160
25 to 34,264,2019-10-13,male,49,36.1,472,King Street side,85 to 95 kg,Evening Ride,33.4,44.6,41.37,4462,4462,0,2030
35 to 44,856,2015-02-16,male,251,20.1,702,Starbucks to Majid,65 to 74 kg,Evening Ride jc1,18.8,38.9,14.67,2813,2813,0,892
25 to 34,222,2019-10-30,male,81,36.8,472,North Corniche,,٢,28.4,48.2,43.87,5560,5560,0,4876
35 to 44,1324,2019-02-02,male,99,35.3,203,Oghor 2 SailsIsland,85 to 95 kg,تمرين على كورنيش جدة,30.3,41.8,28.29,3366,3366,1,4069
35 to 44,1143,2019-10-25,male,284,26.1,275,Oghor 2 SailsIsland,54 kg and under,sarawat-globe-corniche-fishmarket-balad-bahay,21.6,34.2,53.67,8943,8943,0,4255
19 and under,3,2019-12-13,male,3,36.4,387,Starbucks to Majid,65 to 74 kg,تمرين صباحي جميل winking face flexed biceps man biking Morning Ride,26.3,46.4,65.43,8962,8962,0,2
25 to 34,355,2016-01-09,male,128,29.5,577,King Street side,85 to 95 kg,Morning Ride,30.2,54.0,70.0,8346,8346,1,2109
35 to 44,815,2019-01-18,male,207,22.5,626,Starbucks to Majid,75 to 84 kg,100 km challenge تحدي ال ١٠٠ كيلومتر,23.6,51.5,100.45,15345,15345,0,849
25 to 34,1290,2020-03-20,male,69,30.9,316,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Morning Ride,23.7,45.7,54.74,8309,8309,0,2737
35 to 44,1088,2019-10-25,male,183,21.1,806,King Street side,54 kg and under,Morning Ride,19.6,35.6,63.42,11634,11634,0,2466
19 and under,32,2019-10-18,male,25,24.0,708,King Street side,54 kg and under,Afternoon Ride,19.8,36.4,18.09,3282,3282,0,1914
35 to 44,831,2019-01-01,male,56,20.2,1225,Obhur North Short,54 kg and under,Afternoon Ride,20.0,29.9,100.13,18003,18003,0,1596
45 to 54,1604,2019-09-20,male,123,19.0,915,North Corniche,54 kg and under,Evening Ride,19.2,34.6,27.9,5228,5228,0,5872
19 and under,68,2018-01-08,male,24,24.4,697,King Street side,54 kg and under,Morning Ride,24.0,44.3,48.01,7199,7199,0,1913
25 to 34,566,2020-01-20,male,344,26.5,656,North Corniche,54 kg and under,Evening Ride,18.4,47.5,25.26,4942,4942,1,5139
35 to 44,816,2019-03-18,male,274,22.9,264,Headquarters Business Park,,Evening Ride,1.5,29.5,31.43,75980,75980,0,7402
35 to 44,893,2018-11-17,male,285,24.5,707,North Corniche,54 kg and under,بداية قوية,17.8,30.6,40.71,8246,8246,0,5640
25 to 34,1181,2015-09-15,male,69,30.9,316,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Night Ride,19.5,46.4,30.29,5600,5600,0,2736
35 to 44,707,2019-11-11,male,84,28.5,494,Starbucks to Majid,75 to 84 kg,Evening Ride,25.9,44.6,50.05,6964,6964,0,726
20 to 24,4,2018-01-22,male,4,39.3,358,Starbucks to Majid,54 kg and under,Afternoon Ride,31.4,52.6,56.53,6486,6486,1,53
35 to 44,231,2019-01-11,male,16,39.0,699,Al Fardoos to shellfish round about,65 to 74 kg,مع دراج جدة,28.8,49.7,91.89,11504,11504,1,1796
25 to 34,1466,2017-11-06,male,517,21.7,330,Oghor 2 SailsIsland,,Evening Ride,16.6,41.8,20.45,4435,4435,0,3845
19 and under,1129,2018-10-05,male,69,17.8,340,Headquarters Business Park,55 to 64 kg,Morning Ride,34.3,55.1,73.43,7706,7706,0,6007
45 to 54,998,2019-07-19,male,41,29.0,586,King Street side,95 kg to 104 kg,Bike 40km - 27.29kph - 5/31,27.2,46.8,40.02,5290,5290,1,2553
25 to 34,1302,2019-06-09,male,134,22.4,437,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Afternoon Ride,18.7,29.9,16.42,3166,3166,0,2800
35 to 44,898,2017-11-27,male,295,16.3,866,Starbucks to Majid,54 kg and under,Evening Ride,14.6,33.8,32.17,7922,7922,0,936
25 to 34,1801,2018-11-22,male,226,25.5,237,Headquarters Business Park,95 kg to 104 kg,Afternoon Ride,31.9,86.0,34.93,3941,3941,0,6490
35 to 44,792,2016-11-16,male,180,24.2,582,Starbucks to Majid,54 kg and under,Evening Ride,22.4,34.9,20.52,3294,3294,0,824
35 to 44,1553,2014-01-04,male,352,22.8,314,Oghor 2 SailsIsland,54 kg and under,Saturday Morning,17.4,31.3,42.52,8819,8819,0,4321
25 to 34,250,2015-02-18,male,123,35.9,200,Oghor 2 SailsIsland,105 kg to 114 kg,Evening Ride,25.0,84.6,30.85,4445,4445,0,3401
45 to 54,960,2019-07-05,male,21,33.0,964,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Morning Ride,30.4,47.2,84.15,9957,9957,1,1389
25 to 34,182,2019-04-24,male,233,31.5,228,Oghor 2 SailsIsland,75 to 84 kg, Training|with|jeddah|cyclist ,24.8,36.4,46.61,6762,6762,1,3564
35 to 44,848,2019-09-04,male,243,20.7,679,Starbucks to Majid,75 to 84 kg,Evening Ride,19.4,39.6,28.43,5272,5272,0,884
35 to 44,687,2019-07-03,male,72,35.6,487,North Corniche,85 to 95 kg,Wednesday Afternoon Cycling Activity,22.5,53.3,48.17,7691,7691,0,5429
35 to 44,790,2016-01-08,male,348,18.9,919,North Corniche,85 to 95 kg,Morning Ride,20.4,46.4,60.57,10710,10710,0,5703
35 to 44,1117,2019-01-11,male,335,20.9,831,North Corniche,,Morning Ride,7.3,35.6,55.39,27245,27245,0,5690
25 to 34,91,2019-10-16,male,72,37.5,463,North Corniche,75 to 84 kg,Evening Ride,27.7,52.2,55.02,7146,7146,1,4867
45 to 54,685,2017-10-21,male,28,33.5,815,Al Fardoos to shellfish round about,75 to 84 kg,Morning Ride,28.1,42.1,91.32,11716,11716,0,1868
25 to 34,1459,2019-12-07,male,386,24.6,705,North Corniche,54 kg and under,Afternoon Ride,16.6,39.6,29.53,6400,6400,0,5181
19 and under,11,2017-12-01,male,11,28.7,491,Starbucks to Majid,54 kg and under,Morning Ride,23.0,43.9,53.5,8366,8366,0,10
25 to 34,431,2020-01-01,male,133,35.3,203,Oghor 2 SailsIsland,75 to 84 kg,JEDDAH ride 2020,24.5,51.1,48.0,7043,7043,0,3415
35 to 44,644,2019-11-25,male,66,36.1,481,North Corniche,85 to 95 kg,مجدولة المسابقة يوم الاثنين 11/25 المتسابق 102 وكانت لياقة عالية,26.8,50.4,47.51,6374,6374,0,5421
25 to 34,226,2019-09-28,male,7,35.8,690,Obhur North Short,65 to 74 kg,Morning Ride,29.0,42.1,64.07,7942,7942,0,1463
35 to 44,775,2019-10-02,male,163,25.0,564,Starbucks to Majid,65 to 74 kg,Evening Ride,27.6,54.4,47.68,6226,6226,1,806
25 to 34,236,2014-12-31,male,154,27.2,222,Headquarters Business Park,54 kg and under,Evening Ride,22.6,37.8,15.3,2437,2437,0,6421
25 to 34,345,2018-02-26,male,250,24.8,243,Headquarters Business Park,75 to 84 kg,Evening Ride,23.6,45.0,52.08,7935,7935,0,6515
35 to 44,693,2014-04-05,male,99,35.3,203,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,25.8,48.2,51.37,7158,7158,0,4068
25 to 34,257,2018-05-07,male,127,29.6,576,King Street side,85 to 95 kg,Evening Ride,21.6,39.6,48.02,8003,8003,0,2108
25 to 34,433,2014-12-15,male,382,22.4,270,Headquarters Business Park,75 to 84 kg,Evening Ride,21.8,41.4,27.08,4463,4463,0,6646
45 to 54,2228,2018-12-10,male,137,14.3,422,Headquarters Business Park,54 kg and under,Evening Ride,15.0,28.8,7.87,1897,1897,0,7794
25 to 34,1199,2020-02-21,male,253,20.3,840,King Street side,75 to 84 kg,Morning Ride,21.0,37.8,78.32,13399,13399,0,2234
35 to 44,924,2019-08-21,female,3,20.5,686,Starbucks to Majid,55 to 64 kg,Evening Ride,20.6,35.6,80.64,14071,14071,1,963
45 to 54,1589,2017-07-07,male,79,29.6,242,Oghor 2 SailsIsland,105 kg to 114 kg,Evening Ride,22.7,37.8,30.39,4821,4821,0,4494
19 and under,1278,2018-01-15,male,7,27.9,350,PRINCE SULTAN - ASSALAM TO FATIMA,55 to 64 kg,Night Ride,19.5,33.5,8.75,1618,1618,0,2632
35 to 44,686,2017-01-25,male,62,29.9,471,Starbucks to Majid,75 to 84 kg,Evening Ride,23.2,66.2,21.71,3363,3363,0,704
25 to 34,420,2017-01-09,male,280,23.2,606,Starbucks to Majid,95 kg to 104 kg,Evening Ride,19.5,43.6,27.48,5073,5073,0,431
35 to 44,1577,2019-02-17,male,419,12.7,567,Oghor 2 SailsIsland,54 kg and under,Night Ride,12.2,42.5,21.98,6469,6469,0,4388
20 to 24,140,2018-01-24,male,96,16.7,844,Starbucks to Majid,54 kg and under,Morning Ride,19.5,31.7,15.21,2804,2804,1,145
25 to 34,197,2017-12-04,male,52,35.5,479,King Street side,85 to 95 kg,Evening Ride,29.9,58.3,50.08,6021,6021,0,2033
25 to 34,1824,2019-01-11,male,341,23.1,261,Headquarters Business Park,,Morning Ride,20.2,26.6,14.61,2605,2605,0,6608
25 to 34,213,2019-12-20,male,23,37.4,853,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,28.7,49.0,64.91,8145,8145,1,1165
25 to 34,238,2017-01-04,male,171,34.0,211,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,20.4,47.9,18.26,3216,3216,0,3500
25 to 34,1059,2018-12-10,male,68,33.8,504,King Street side,75 to 84 kg,Evening Ride,31.4,46.8,45.23,5184,5184,0,2050
25 to 34,538,2018-07-31,male,430,25.2,285,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,21.9,70.2,65.38,10732,10732,0,3760
75+,1049,2019-10-14,male,1,33.4,510,King Street side,85 to 95 kg,Ride 4 d health,25.4,51.1,71.57,10147,10147,0,2624
45 to 54,1587,2018-02-28,male,70,31.2,230,Oghor 2 SailsIsland,85 to 95 kg,Night Ride,24.5,37.1,29.78,4371,4371,0,4484
45 to 54,970,2019-02-23,male,20,40.1,179,Oghor 2 SailsIsland,54 kg and under,ولست ارى السعادة جمع مالٍ .. ولكن التقي هو السعيدُ,24.7,50.4,137.37,20022,20022,0,4435
25 to 34,156,2019-04-27,male,7,42.5,142,Headquarters Business Park,65 to 74 kg,سباق جدة جيلي ٥٠,40.2,51.5,41.95,3755,3755,0,6272
25 to 34,1778,2019-08-07,male,80,30.5,198,Headquarters Business Park,75 to 84 kg,Evening Ride,24.5,36.7,70.97,10443,10443,0,6347
35 to 44,872,2019-09-04,male,392,19.4,369,Oghor 2 SailsIsland,55 to 64 kg,Evening Ride,18.4,32.4,23.48,4584,4584,0,4361
35 to 44,814,2018-07-16,male,141,25.6,665,King Street side,75 to 84 kg,Evening Ride,22.0,41.0,56.15,9187,9187,0,2424
